"fileid","artist","album","song","length","isrc","label","explicit","spotify_url","upc"
"4f5c1b03c7d26c4d10000d08","TIMarbury","","TT.FM Dubstep Anthem #2","295","","","","",""
"4ddd64d5845daf51140001ef","M83","Invol2ver","Couleurs - Sasha Invol2ver Remix","642","","","","",""
"4ddbc49a845daf626d000014","Zombies For Money","ZMF EP","Numbra One - Foamo Remix","248","","","","spotify:track:1aHR1g6I5WyCFloBctEMEb",""
"4f15ae5bc7d26c70da000038","Avicii, Jwktje","","Super Mario World Levels","183","","","","",""
"4f186e60c7d26c70b60007d1","Rusko","Somebody To Love - downtown.rcrdlbl.com","Somebody To Love","182","","","","spotify:track:6ZvKbomxtwcc6nQIZlUgUd",""
"512096da9f81f31ed7df69d9","Felguk","Felguk - All Night Long (Darth & Vader Mix)","All Night Long (Darth & Vader Mix)","363","CABL41101401","Bugeyed Records","False","spotify:track:58qMn7G7WkS0mSTlxyId5R","881034784599"
"4ed1a04099968e3cba005ff2","Tristam","","Party for the Living","189","","","","spotify:track:3Glj20JAZduRdtFtAOjIGF",""
"4ddd5c20845daf626d0003c8","Trentem?ller","The Last Resort","Always Something Better","364","","","","spotify:track:6ZFgqpVOGCaj0UPIWqcq0x",""
"4f35ac12c7d26c4ad5000d18","Project 46","","M.O.A.B.","300","","","","spotify:track:4sw4cd9E252YvO08zWiaDw",""
"512067699f81f31ed7d9b8fa","Psycraft vs X-noiZe","Alter Ego","Take Control (SynSUN Remix)","477","GBKQU1130729","Dacru Records","False","spotify:track:4wCbYrX3v0aYDijVmKI4nA","5052653029414"
"4ea3745999968e1eaf004e1c","AWOL Nation","[ELECTROKILL.INFO]","Sail Away (Monster! Monster! Remix)","241","","","","",""
"5120648c9f81f31ed7d95b67","The Used","Blood On My Hands","Blood On My Hands (Album Version)","197","USRE10901079","Reprise","False","spotify:track:5hNeatT8kKThMjqGNi9SZk","054391988263"
"4dfac0c0902168346a0001bc","The Nine","Dreamland","Control","235","","","","spotify:track:3DL7LC6HCdAqQdhZT0zLBP",""
"4f3a1463c7d26c4ae4001c28","Infected Mushroom","U R So Fucked - Single","U R So Fucked","281","","","","spotify:track:2aqbz3zEcgIyz23VCVc6xH",""
"4de7ba81845daf4eb80000a3","Roll Deep","Remixes","Green Light (Quartus Saul & Kaney Remix)","206","","","","",""
"4e4ee28899968e480c00c0f6","Klaypex","Loose Dirt","Rain (feat. Sara Kay)","267","","","","",""
"4e0cf18299968e58e600344a","Flight Facilities","FindNewJams.com","Crave You (Adventure Club Dubstep Remix)","237","","","","",""
"4de00721845daf51140005c3","Squarepusher","Vic Acid","Vic Acid (Hard & Normal Mix)","182","","","","",""
"512054eb9f81f31ed7d74c6f","The Knife","We Share Our Mothers' Health","We Share Our Mothers' Health (Trentem?ller Remix)","481","SEWCE0600502","Mute Artists","False","spotify:track:2KKTfBO8pKt8bkvzEjoEIq","0094637512258"
"4e91f7cd99968e57e8001b97","Dallask and Porter Robinson","Jupiter Unison","Jupiter Unison (3LAU Bootleg)","202","","","","",""
"4e03852b99968e0f63000529","Martin Solveig","Electro Kollection","Hello (Drughead Remix)","285","","","","",""
