"fileid","artist","album","song","length","isrc","label","explicit","spotify_url","upc"
"51205abd9f81f31ed7d80bb9","Lloyd","Street Love","Get It Shawty (Main)","210","USUM70721403","I.G. Records, Inc./Universal Records","False","spotify:track:2a03afRiyAbNAleOByVju4","00602517246775"
"5120507f9f81f31ed7d6aa39","Chris Brown featuring Lil Wayne & Busta Rhymes","Look At Me Now","Look At Me Now (Explicit Version)","223","USJI11100017","Jive","True","spotify:track:7EKTo6rVJ3XSS7QTd6ep2j","884977897838"
"512050c09f81f31ed7d6b176","Big Sean (feat. Chris Brown)","Finally Famous","My Last (Explicit Version)","254","USUM71101896","Def Jam Records","True","spotify:track:2S8rKY8MAVnQ976ELkHli3","00602527768373"
"51218cb99f81f31ed7f694f3","Glee Cast","What Makes You Beautiful (Glee Cast Version)","What Makes You Beautiful (Glee Cast Version)","198","USQX91200733","Columbia","False","spotify:track:5OJftsnDxtQlRMI2QDwvkQ","886443480278"
"5120510b9f81f31ed7d6ba75","Usher featuring will.i.am","Raymond v Raymond (Deluxe Edition)","OMG","268","USLF20900103","LaFace Records","False","spotify:track:3r04p85xiJh9Wqk59YDYdc","884977705362"
"51204f0d9f81f31c6a19256d","The Black Eyed Peas","The Beginning & The Best Of The E.N.D.","Don?t Stop The Party","367","USUM71026669","Interscope","False","spotify:track:61s24wRVyG7NP9m7EjdDKL","00602527647098"
"512149e09f81f31ed7f0cd8a","The Cataracs (feat. Dev)","Sunrise","Sunrise","218","USUM71119232","Republic Records","False","spotify:track:5Npft6Tw0d7EXLxCZdBxR2","00602527933528"
"512052339f81f31ed7d6e2b1","David Rush (feat. Kevin Rudolf & LMFAO & Pitbull)","Shooting Star","Shooting Star (Party Rock Mix)","224","USUM70953634","Universal/Island Def Jam","False","spotify:track:6Be5gSaHtw0zMbwLUTbAO5","00602527006024"
"5120b3469f81f31ed7e28755","The Lonely Island","Incredibad","Like A Boss","107","USUM70900502","Broadway Video/Republic Records","True","spotify:track:23tFXzIrL3esi2ECP8mprj","00602517969742"
"512052069f81f31ed7d6dd28","The Cataracs (feat. Dev)","Top Of The World","Top Of The World","222","USUM71102756","Universal Records","False","spotify:track:4ZqI5J82E3aPLvXzN3nVxD","00602527666396"
"5120e5019f81f31ed7e75792","Jason Derulo","It Girl","It Girl","192","USWB11102211","Beluga Heights/Warner Bros.","False","spotify:track:2giHiZTf7a3UKkYvENgavP","054391979100"
"5120cf0a9f81f31ed7e558af","Patrick Stump (feat. Lupe Fiasco)","Soul Punk","This City (Bonus Track)","217","USUM71110013","Island Records","False","spotify:track:4PKNV7axoeqSe6foFl4PsG","00602527811642"
"512177469f81f31ed7f4c81c","Martin Solveig","The Night Out EP","The Night Out (Single Version)","255","FR2PA1200010","Big Beat Records","False","spotify:track:1TbENPXb4EoOT0NIYgtwjx","075679961792"
"5120ee7e9f81f31ed7e83d5c","Nero","Welcome Reality","Promises","257","GBUM71105544","Interscope","False","spotify:track:1kjvBYbo5SgzDVn42c1SuF","00602527780115"
"512050609f81f31ed7d6a613","Dr. Dre (feat. Akon & Snoop Dogg)","Kush","Kush (Main)","235","USUM71028121","Interscope","True","spotify:track:0D5ER6UGojHVHVVJV0QdY8","00602527593630"
"512051779f81f31ed7d6c933","Eminem","Recovery","Cinderella Man","279","USUM71015394","Aftermath","True","spotify:track:318d3zDZXOxJGU24epWw32","00602527394527"
"5121a94a9f81f31ed7f8599f","Big Time Rush","Elevate","Windows Down","193","USSM11203314","Nickelodeon/Columbia","False","spotify:track:4IdTf8hNz1WRqnNhe8qx67","886443523500"
"52698a739f81f371f75a2720","Jason Derulo","Jason Derulo","Ridin' Solo","216","USWB10905329","Beluga Heights/Warner Bros.","False","spotify:track:7ksYJ95P5vP87A0GH34CIk","093624967408"
"4d87b2a3af03035234000208","KiD CuDi ft. MGMT & Ratatat","The Fridge Podcast","Pursuit Of Happiness (Steve Aoki Dance Remix)","374","","","","",""
"5136cebccf683a1db0e7d1ee","Lady GaGa","Born This Way","Born This Way","260","USUM71100638","Interescope","False","spotify:track:209NkbzmsUa9pAobU7xGyf","00602527635569"
"512051929f81f31ed7d6ccd6","Ellie Goulding","Lights","Lights (Bassnectar Remix)","277","GBUM71101899","Interscope","False","spotify:track:3nPpCn5nYTMg0ajmzv57Jq","00602527746463"
"4ed5217099968e3cb9007279","M83","themusicninja.com","Midnight City (PatrickReza Dubstep Remix)","226","","","","",""
"5121e6989f81f31ed7fc645f","Avicii","Silhouettes","Silhouettes (Syn Cole Creamfields Mix Radio Edit)","204","SEUM71200859","Interscope","False","spotify:track:277FtW1JhfqGngi528FHdp","00602537168583"
"5267e9b79f81f30fc89d2afc","Cobra Starship","Night Shades","You Make Me Feel...(feat. Sabi)","216","USAT21100959","Decaydance/Fueled By Ramen","False","spotify:track:5FeuH4LtGxDWkSkhRG47QT","075679967060"
"51219b1c9f81f31ed7f79b04","Phillip Phillips","Home","Home","210","QMTM61200272","19 Recordings/Interscope","False","spotify:track:2ZQyksYO4zzhyHNcueL0CP","00602537094042"
"512149869f81f31ed7f0c5d5","Swedish House Mafia vs. Knife Party","Antidote","Antidote (Tommy Trash Remix)","353","GBAAA1100776","EMI UK","False","spotify:track:57E15uZh5L8EW9fCwpDTbR","5099960207555"
"4f414459c7d26c4af400341b","fun.","Some Nights","Some Nights","277","","","","spotify:track:6t6oULCRS6hnI7rm0h5gwl",""
"4f67c24dc7d26c4d10003a30","Unknown","","Untitled","228","","","","",""
"4ed2c71d99968e3cba006518","Unknown","","Untitled","314","","","","",""
"51213da49f81f31ed7efb174","Of Monsters And Men","My Head Is An Animal","Little Talks","267","USUM71119106","Republic Records","False","spotify:track:2ihCaVdNZmnHZWt0fvAM7B","00602527980171"
"51222ac99f81f31ed701e7a6","Justin Timberlake feat. JAY Z","Suit & Tie featuring JAY Z","Suit & Tie featuring JAY Z","328","USRC11300004","RCA Records Label","False","spotify:track:6dEnpbXyamib2EJnRhTt0G","886443826540"
"527ceeaa9f81f349b193569e","Imagine Dragons","Night Visions","Radioactive","188","USUM71201074","Kid Ina Korner / Interscope","False","spotify:track:4G8gkOterJn0Ywt6uhqbhp","00602537126835"
"512056f99f81f31ed7d7915b","Mr. Scruff","Ninja Tuna with Bonus Bait","Kalimba","351","GBCFB0800202","Ninja Tune","False","spotify:track:7fOOZRwBQPGsoOuN9rVh2E","5021392535395"
"51212c3d9f81f31ed7ee1857","Calvin Harris","Feel So Close","Feel So Close (Nero Remix)","285","GBARL1100750","Ultra Records","False","spotify:track:6z7fC23kVb8rOY1mLskZmY","617465290152"
"512180ec9f81f31ed7f595db","Flo Rida","Whistle","Whistle","225","USAT21201745","Atlantic Records","False","spotify:track:0ltBH1JNzSvQJPjJpvTu9B","075679961396"
